n,t1,t2,t3,avg (s),mem (bytes)
1,"0,002","0,001","0,002","0,0017",5124
2,"0,002","0,002","0,001","0,0017",5168
3,"0,002","0,002","0,002","0,0020",5220
4,"0,002","0,002","0,001","0,0017",5312
5,"0,002","0,002","0,002","0,0020",5476
6,"0,002","0,001","0,002","0,0017",5776
7,"0,003","0,003","0,003","0,0030",6340
8,"0,009","0,004","0,011","0,0080",7424
9,"0,031","0,036","0,035","0,0340",9540
10,"0,297","0,296","0,297","0,2967",13712
